host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,total_review_activity,host_type,availability_type
180083,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,2.17,1,0,173.6,Single Listing,Low Availability
181167,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,0.04,1,0,0.08,Single Listing,Low Availability
137814,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,3.47,3,336,1020.1800000000001,Small Host,High Availability
11481,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,1.4,3,342,210.0,Small Host,High Availability
185978,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,1.66,1,312,275.56,Single Listing,High Availability
177536,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,0.94,1,37,44.18,Single Listing,Medium Availability
190409,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,2.04,3,353,446.76,Small Host,High Availability
193360,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,1.78,1,177,343.54,Single Listing,Medium Availability
72062,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,0.78,4,310,65.52,Small Host,High Availability
193722,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,1.06,1,0,120.84,Single Listing,Low Availability
181376,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,2.0,2,321,426.0,Small Host,High Availability
193637,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,0.8,1,246,68.8,Single Listing,High Availability
126607,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,0.75,3,231,60.0,Small Host,High Availability
201297,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,0.36,1,225,13.68,Single Listing,High Availability
202249,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,1.79,1,0,32.22,Single Listing,Low Availability
67778,Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,1.92,2,0,395.52,Small Host,Low Availability
867225,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,1.18,2,233,143.95999999999998,Small Host,High Availability
204724,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,0.58,1,1,19.139999999999997,Single Listing,Low Availability
8198,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,0.5,1,18,26.0,Single Listing,Low Availability
209460,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,1.17,4,343,147.42,Small Host,High Availability
210746,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,0.48,3,250,24.48,Small Host,High Availability
212722,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,1.85,1,326,368.15000000000003,Single Listing,High Availability
214148,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,0.29,1,364,8.7,Single Listing,High Availability
214287,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,0.03,1,0,0.09,Single Listing,Low Availability
218404,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,0.38,1,299,15.58,Single Listing,High Availability
221873,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,1.04,1,207,113.36,Single Listing,High Availability
9744,Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,5,151,1.43,3,162,215.92999999999998,Small Host,Medium Availability
236421,Manhattan,Upper East Side,40.77333,-73.95199,Private room,130,14,0,0.0,2,0,0.0,Small Host,Low Availability
236655,Manhattan,Lower East Side,40.72319,-73.99201,Private room,83,1,285,2.69,1,7,766.65,Single Listing,Low Availability
237329,Manhattan,Chelsea,40.74859,-73.99671,Private room,123,1,375,3.52,1,328,1320.0,Single Listing,High Availability
27848,Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,0.49,2,365,25.48,Small Host,High Availability
240360,Manhattan,Hell's Kitchen,40.76244,-73.99271,Entire home/apt,195,5,10,1.01,1,0,10.1,Single Listing,Low Availability
247432,Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private room,80,2,11,0.48,1,0,5.279999999999999,Single Listing,Low Availability
204539,Queens,Middle Village,40.71722,-73.87856,Entire home/apt,98,30,33,0.31,5,240,10.23,Small Host,High Availability
204539,Queens,Ridgewood,40.70234,-73.89816,Private room,140,7,6,0.06,5,365,0.36,Small Host,High Availability
204539,Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,7,38,0.38,5,365,14.44,Small Host,High Availability
10889,Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,2,358,3.44,2,164,1231.52,Small Host,Medium Availability
255583,Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,6,10,0.09,1,363,0.8999999999999999,Single Listing,High Availability
253385,Manhattan,Harlem,40.80234,-73.95603,Private room,200,30,0,0.0,1,365,0.0,Single Listing,High Availability
210746,Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,100,2,226,2.12,3,250,479.12,Small Host,High Availability
256161,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,104,1.0,5,247,104.0,Small Host,High Availability
190409,Bronx,Highbridge,40.83075,-73.93058,Private room,45,1,138,1.45,3,323,200.1,Small Host,High Availability
258164,Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,204,1.92,1,192,391.68,Single Listing,High Availability
260709,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,2,253,3.04,1,125,769.12,Single Listing,Medium Availability
262138,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,2,23,0.22,1,91,5.06,Single Listing,Medium Availability
88209,Manhattan,NoHo,40.72773,-73.99134,Private room,130,2,115,1.17,1,75,134.54999999999998,Single Listing,Medium Availability
263414,Manhattan,West Village,40.72861,-74.0049,Entire home/apt,199,5,129,1.22,1,286,157.38,Single Listing,High Availability
168525,Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,4,82,1.13,2,60,92.66,Small Host,Medium Availability
264928,Brooklyn,Fort Greene,40.68656,-73.97525,Private room,68,3,37,0.35,1,0,12.95,Single Listing,Low Availability
267593,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,204,2.04,1,192,416.16,Single Listing,High Availability
268014,Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,0.65,1,58,44.85,Single Listing,Medium Availability
256161,Manhattan,Harlem,40.81219,-73.94499,Private room,64,1,192,1.84,5,245,353.28000000000003,Small Host,High Availability
272006,Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,0.16,1,292,2.72,Single Listing,High Availability
199392,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,2,222,2.12,1,279,470.64000000000004,Single Listing,High Availability
239208,Manhattan,East Village,40.72821,-73.98701,Entire home/apt,189,3,205,1.96,1,0,401.8,Single Listing,Low Availability
274557,Manhattan,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,250,3,94,0.96,1,3,90.24,Single Listing,Low Availability
275459,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,0.07,1,351,0.49000000000000005,Single Listing,High Availability
275578,Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,305,2,108,1.09,1,201,117.72000000000001,Single Listing,High Availability
